x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,type,category
-5.32907E-15,58.52220681,9,28.81202712,31.21756928,2.7,44.44582592,-5.736634199,0.675,47.47436286,-39.60039268,-1.35,33.96872515,-63.57023035,-2.7,16.04306055,-34.45444455,6.3,19.64456394,-46.33784365,-2.475,18.66233575,-18.45598744,-7.425,16.20676525,3.506852793,-9,-8.676349075,-31.43407615,6.525,-4.992993336,-42.81752346,-2.475,-0.654818798,-7.079730426,-4.275,0.491114099,15.3201753,-3.15,-32.24982581,-21.41438276,5.625,-31.10389291,-32.89575466,-3.6,-19.64456394,0.136101431,-1.35,-13.50563771,19.1517884,3.15,-54.34996024,-5.475673389,4.05,-51.07586625,-16.27876348,-2.025,-37.40652384,5.610861616,0.45,-29.95796001,17.2251964,4.275,1,a
5.32907E-15,59.83729487,9.134328358,29.85910553,31.94946192,3.223880597,42.51258665,-8.505790287,1.880597015,43.55052197,-42.76315422,0.537313433,31.32076725,-67.83835329,-0.268656716,15.34744807,-30.53804685,7.253731343,15.90334601,-48.43740435,-2.149253731,16.3542842,-23.20511384,-7.52238806,15.24637572,-0.084847813,-8.865671642,-8.560050824,-26.07205863,7.253731343,-7.343295189,-45.16512677,-2.686567164,-2.033109256,-11.110916,-4.835820896,0.583109729,13.02608941,-3.492537313,-31.84556601,-15.68988103,5.641791045,-32.92237531,-34.15991194,-4.567164179,-20.98806285,-2.919308602,-2.149253731,-14.4261347,17.61038298,2.686567164,-54.76566576,-0.336009789,3.76119403,-53.23791827,-16.47098324,-3.223880597,-38.03430393,3.232517947,-0.537313433,-30.05736284,16.27848717,3.76119403,1,a
1.77636E-14,60.21069994,9,27.65862818,30.21440213,3.085714286,41.65510753,-11.74132562,1.542857143,42.0265859,-44.88674532,-0.257142857,27.66275571,-67.82901577,-1.285714286,9.043434462,-41.56193137,8.228571429,18.64821401,-50.25331036,-1.028571429,19.91949553,-21.85465346,-6.942857143,19.60167515,1.151032289,-9,-14.85500713,-36.65132879,7.971428571,-3.306157464,-42.18568437,-1.285714286,1.997728106,-6.982710537,-3.6,3.690018443,15.96351067,-2.571428571,-36.44202778,-23.89640454,6.428571429,-26.90328883,-29.37129559,-3.085714286,-15.50303051,2.436796695,-0.771428571,-10.47981748,21.20449434,3.857142857,-56.76189444,-5.120805377,4.371428571,-46.22429144,-14.08705169,-1.8,-33.22667614,7.659275769,1.285714286,-28.07138192,19.99399752,5.657142857,1,a
-3.55271E-15,59.17008898,9,29.4269863,32.46201456,2.823529412,44.00373696,-7.342213285,0.529411765,44.60540396,-41.84510137,-1.411764706,29.24922105,-66.27070504,-2.647058824,11.65046112,-48.16021889,5.823529412,17.27057793,-49.04739475,-2.294117647,18.77474544,-16.964437,-7.235294118,17.99531319,7.560864959,-9,-14.44000815,-44.68949835,6.529411765,-6.987541822,-41.72689686,-1.411764706,-1.408447765,-3.952684834,-3.352941176,1.517841766,19.19582845,-2.470588235,-37.27600589,-31.51092268,5.823529412,-32.27123033,-29.38564789,-1.941176471,-19.82766271,3.381879931,-0.176470588,-12.26580238,21.58762504,3.176470588,-57.41817634,-12.78299165,4.764705882,-52.86465105,-14.36559529,-0.529411765,-38.16483215,7.356280162,1.411764706,-29.59107731,18.63588124,4.588235294,1,a
-3.19744E-14,58.58614387,9.113924051,30.02700432,34.2451905,2.734177215,44.67597763,-5.569852325,0.911392405,46.25277684,-39.67747392,-0.683544304,32.18026776,-64.87042608,-1.82278481,15.73408244,-31.91501935,6.379746835,17.88734588,-49.0100345,-2.734177215,20.32884143,-22.44706011,-7.746835443,21.12571845,0.38111769,-8.886075949,-8.341776468,-26.31207091,6.607594937,-4.781262122,-43.2312366,-3.417721519,2.085444117,-8.068518241,-5.240506329,4.543894499,16.23783192,-3.64556962,-31.67162285,-14.54552954,5.240506329,-30.75606202,-30.94817888,-5.240506329,-16.64964328,1.448753596,-2.962025316,-9.409930772,22.11742526,1.82278481,-53.62812798,1.910109753,3.417721519,-49.72851703,-13.2726254,-4.329113924,-34.48612467,8.537229089,-1.82278481,-26.22912235,22.69796359,2.278481013,1,a
3.55271E-15,59.73700721,9,28.98557311,34.1281169,2.307692308,42.67157921,-7.788962112,0.230769231,42.20757595,-42.02027437,-1.384615385,35.42727604,-69.71483423,-2.307692308,7.720847062,-44.99485137,6.230769231,19.03667435,-51.88239196,-2.538461538,22.84484526,-23.8794003,-7.384615385,23.18762244,0.870424908,-9,-16.92148831,-40.16910646,6.923076923,-3.064093609,-39.84276926,-1.615384615,3.089174867,-3.513273377,-3.692307692,4.100785581,19.99088771,-2.538461538,-37.99810492,-26.30334398,6.230769231,-26.64047554,-25.80161268,-2.538461538,-14.89826688,6.839215717,-0.461538462,-10.12864777,25.58443931,3.461538462,-56.80904795,-6.20329245,5.076923077,-46.35852405,-10.7325425,-0.923076923,-31.90335938,11.62857269,1.384615385,-26.56523177,23.34128106,5.307692308,1,a
-7.10543E-15,64.4463783,9.142857143,26.76804483,31.8424026,4,34.16799335,-12.64210728,3.142857143,31.87053641,-47.48572104,1.142857143,22.25327479,-74.94122317,0,5.289493888,-31.62309809,9.142857143,8.575391606,-54.19713077,-1.142857143,13.25044934,-29.66209878,-7.142857143,15.86848166,-6.255524126,-8.857142857,-15.22733089,-24.67435137,8.285714286,-9.804263924,-42.93733853,-3.142857143,-3.045466178,-8.157189188,-5.714285714,-0.774723852,17.56976456,-4.285714286,-35.7975849,-11.79153281,5.714285714,-31.63010487,-31.58028455,-6.571428571,-19.63524246,1.678230379,-3.714285714,-13.99845857,24.12533421,2.285714286,-56.04726352,5.765841215,2.571428571,-49.20832193,-12.66200227,-6,-35.04957566,9.856826338,-2.571428571,-28.771641,25.54144654,2.857142857,1,a
3.55271E-15,61.28368462,9.111111111,28.1550376,32.78439008,2.666666667,40.28188314,-10.58854233,0.666666667,37.87957618,-44.34142655,-1.111111111,30.05766471,-72.36581491,-2.222222222,4.573992456,-47.51594919,6.444444444,16.60474572,-53.01743882,-2.222222222,22.04356869,-24.6473177,-7.333333333,24.06150653,1.253757658,-8.888888889,-19.62204327,-42.32528726,7.111111111,-2.632928431,-38.46396953,-1.777777778,4.862269292,-1.792697547,-3.777777778,6.707241039,23.63924805,-2.444444444,-40.97374755,-28.05818746,6.222222222,-25.04164777,-24.34005448,-2.444444444,-13.10698679,8.029898673,-0.888888889,-8.225499039,28.07908118,3.111111111,-59.19284355,-8.018345843,5.111111111,-45.16337089,-9.460640177,-0.888888889,-31.03780595,12.50930732,0.888888889,-25.75273064,25.48196798,4.444444444,1,a
-1.77636E-14,62.18660849,9.138461538,27.28881131,31.28005083,3.323076923,38.0323442,-11.94495997,1.661538462,38.14726949,-46.05830559,0,27.98628892,-72.82310851,-1.384615385,5.956300233,-35.3647863,7.753846154,13.39870332,-55.10050357,-1.938461538,19.33518885,-30.97453331,-7.476923077,21.60595401,-8.088301561,-8.861538462,-15.75269024,-28.85759306,7.476923077,-3.693460956,-42.32589631,-3.323076923,2.052803407,-6.768139449,-5.538461538,2.044877525,17.02816318,-3.876923077,-36.40753842,-15.741616,5.538461538,-26.64681488,-30.99570029,-6.092307692,-14.97595381,2.195872278,-3.6,-11.25475227,23.42131789,1.661538462,-56.11128077,2.402036565,3.323076923,-45.81159727,-14.14880551,-4.984615385,-31.19627108,9.214747332,-1.938461538,-25.50548789,24.7867971,3.046153846,1,a
-3.37508E-14,58.01092845,9,31.62505305,33.40336741,2.634146341,48.84991336,-5.762163928,0.658536585,49.5532743,-37.34972466,-1.097560976,39.00660157,-61.42575599,-2.195121951,13.128157,-36.93179654,6.585365854,24.71864728,-45.8474549,-2.195121951,27.36747463,-19.1604058,-7.463414634,27.28142516,4.143862225,-9,-10.96943754,-33.16964903,7.243902439,3.105263697,-36.39375162,-1.975609756,7.037350619,-1.612051295,-4.170731707,7.426443902,21.64505636,-3.073170732,-33.26373437,-20.9076878,6.365853659,-21.26918568,-25.75244037,-3.512195122,-11.81496718,6.654044035,-1.536585366,-7.894104097,26.81993153,2.853658537,-53.63875376,-3.81165616,5.048780488,-42.0033681,-12.27499166,-1.975609756,-29.21566772,10.20826922,0.219512195,-23.93297816,24.75764084,4.390243902,1,a
